StdDev Positive Recall: 	0,0565		StdDev Positive Recall: 	0,0488		
Positive Precision: 	0,7891		Positive Precision: 	0,772		
StdDev Positive Precision: 	0,0445		StdDev Positive Precision: 	0,0408		
Positive F-Measure: 	0,7744		Positive F-Measure: 	0,7679		
StdDev Positive F-Measure: 	0,0357		StdDev Positive F-Measure: 	0,0342		
Micro F-Measure: 	0,734		Micro F-Measure: 	0,732		
StdDev Micro F-Measure: 	0,0262		StdDev Micro F-Measure: 	0,0255		
Macro F-Measure: 	0,735		Macro F-Measure: 	0,733		
StdDev Macro F-Measure: 	0,0248		StdDev Macro F-Measure: 	0,0247		
Micro PosNeg F-Measure: 	0,755		Micro PosNeg F-Measure: 	0,7525		
StdDev Micro PosNeg F-Measure: 	0,0303		StdDev Micro PosNeg F-Measure: 	0,0249		
Macro PosNeg F-Measure: 	0,757		Macro PosNeg F-Measure: 	0,7525		
StdDev Macro PosNeg F-Measure: 	0,0289		StdDev Macro PosNeg F-Measure: 	0,0253		
OTHER PosNeg F-Measure: 	0,7545		OTHER PosNeg F-Measure: 	0,7525		
StdDev OTHER PosNeg F-Measure: 	0,0307		StdDev OTHER PosNeg F-Measure: 	0,0249		
Average Accuracy: 	0,823		Average Accuracy: 	0,821		
StdDev Average Accuracy: 	0,0181		StdDev Average Accuracy: 	0,0183		
Negative Average Accuracy: 	0,8342		Negative Average Accuracy: 	0,8322		
StdDev Negative Average Accuracy: 	0,0248		StdDev Negative Average Accuracy: 	0,0179		
Neutral Average Accuracy: 	0,7828		Neutral Average Accuracy: 	0,7853		
StdDev Neutral Average Accuracy: 	0,0224		StdDev Neutral Average Accuracy: 	0,0265		
Positive Average Accuracy: 	0,852		Positive Average Accuracy: 	0,8458		
StdDev Positive Average Accuracy: 	0,0232		StdDev Positive Average Accuracy: 	0,0221		
Error Rate: 	0,5995		Error Rate: 	0,599		
StdDev Error Rate: 	0,0128		StdDev Error Rate: 	0,0129		
Negative Error Rate: 	0,1658		Negative Error Rate: 	0,1678		
StdDev Negative Error Rate: 	0,0248		StdDev Negative Error Rate: 	0,0179		
Neutral Error Rate: 	0,7828		Neutral Error Rate: 	0,7853		
StdDev Neutral Error Rate: 	0,0224		StdDev Neutral Error Rate: 	0,0265		
Positive Error Rate: 	0,852		Positive Error Rate: 	0,8458		
StdDev Positive Error Rate: 	0,0232		StdDev Positive Error Rate: 	0,0221		

