TEXT	ACTUAL-CLASS	PREDICTED-CLASS	FeatureVector
4Head artsyle finds a way	POSITIVE	NEUTRAL	{15=1.0, 16=1.0, 18=1.1767524772085807, 19=2.0, 20=0.6396177313666048, 23=3.0, 25=1.5186518651865188, 26=3.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 664=1.0}	
kick artstyle	NEGATIVE	NEUTRAL	{16=1.0, 18=0.4525107698740627, 19=1.0, 23=1.0, 25=0.5383538353835384, 26=1.0, 38=1.0, 40=1.0, 42=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 83=1.0}	
*** MAD LOOKS *** GAY	NEGATIVE	NEUTRAL	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 15=1.0, 17=1.0, 18=0.8334864681965481, 19=2.0, 20=0.667104980826048, 21=0.1663814873705002, 23=2.0, 24=1.0, 25=1.385038503850385, 26=3.0, 28=0.4043404340434043, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 52=2.0, 53=0.6, 54=2.0, 56=0.3, 78=0.43523068936801707, 153=0.6366216486392214, 362=0.6366216486392214}	
yeah @flamindude99 FeelsGoodMan	POSITIVE	NEUTRAL	{1=1.0, 4=0.6, 5=1.0, 6=0.6, 16=1.0, 18=0.5144231033742855, 19=1.0, 23=1.0, 25=0.5313531353135313, 26=1.0, 37=1.0, 39=0.5, 40=1.0, 559=1.0}	
GUY RO FailFish	NEGATIVE	NEUTRAL	{15=2.0, 16=1.0, 18=1.855565397756345, 19=3.0, 20=0.7276418514830241, 22=1.0, 23=2.0, 25=1.607860786078608, 26=3.0, 27=0.6063606360636065, 45=1.0, 47=1.0, 49=0.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 70=0.5679945872825007, 73=0.5511732222075576, 74=0.6112202777551805, 664=1.0}	
Hairy Invoker DansGame	NEGATIVE	NEUTRAL	{17=1.0, 18=0.3493345510764373, 19=1.0, 21=0.3493345510764373, 23=1.0, 25=0.5005500550055006, 26=1.0, 45=1.0, 47=1.0, 49=0.0, 97=0.42459791750688686, 146=0.7216054864827135, 250=0.5468108725389991, 664=1.0}	
WHY IS SLACKS SO OBESE	NEGATIVE	NEUTRAL	{16=3.0, 17=1.0, 18=1.6890353603987747, 19=4.0, 21=0.14576605027591788, 23=3.0, 24=2.0, 25=2.298929892989299, 26=5.0, 28=0.4013401340134014, 31=1.0, 33=1.0, 35=0.0, 37=1.0, 38=1.0, 39=0.5, 40=2.0, 42=0.0, 111=1.0}	
*** gay voice	NEGATIVE	NEUTRAL	{15=2.0, 18=1.3878695180928382, 19=2.0, 20=0.7207645372667904, 23=2.0, 25=0.9792979297929794, 26=2.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 153=0.7071067811865476, 241=0.7071067811865476}	
STFU SLACKS NotLikeThis	NEGATIVE	NEUTRAL	{16=2.0, 17=1.0, 18=1.4744686587036542, 19=3.0, 21=0.44562245195508293, 23=4.0, 24=1.0, 25=2.3833383338333833, 26=5.0, 28=0.39793979397939794, 31=1.0, 33=1.0, 35=0.0, 45=1.0, 47=1.0, 49=0.0, 79=0.47204098088655544, 98=0.5653858482008275, 111=0.39708705877608563, 130=0.5475746732368536, 664=1.0}	
Harry Potter is back PogChamp	POSITIVE	NEUTRAL	{16=3.0, 18=1.493956216266774, 19=3.0, 22=2.0, 23=2.0, 25=2.0875087508750876, 26=4.0, 27=0.5732573257325733, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 89=0.5307822477694282, 90=0.5918231568085157, 148=0.6066428574689037, 664=1.0}	
Guess what the. Girl is beautiful	POSITIVE	NEUTRAL	{1=1.0, 4=0.8, 5=1.0, 6=0.8, 15=2.0, 16=1.0, 18=2.222808475051855, 19=3.0, 20=0.8734299091644339, 22=1.0, 23=5.0, 25=3.1035103510351036, 26=6.0, 27=0.604860486048605, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 96=0.684723090236937, 201=0.7288033271715899}	
@luxas1 thanks bro, gonna watch replay	POSITIVE	NEUTRAL	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 15=4.0, 16=1.0, 18=3.265249756543077, 19=5.0, 20=0.8899464669861409, 22=1.0, 23=5.0, 25=3.117611761176118, 26=6.0, 27=0.675967596759676, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 458=0.7071067811865475, 655=0.7071067811865475}	
RUINED KappaRoss	NEGATIVE	NEUTRAL	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 15=1.0, 16=1.0, 17=1.0, 18=1.4100969976397062, 19=3.0, 20=0.6038281881853245, 21=0.291845706080096, 23=2.0, 24=1.0, 25=1.3291329132913292, 26=3.0, 28=0.2713271327132713, 31=1.0, 33=1.0, 35=0.0, 59=0.4840188864009206, 499=0.8750575510257669, 664=1.0}	
7fuckingbad Kappa	NEGATIVE	NEUTRAL	{15=1.0, 16=1.0, 18=1.1182512915596101, 19=2.0, 20=0.6038281881853245, 23=2.0, 25=0.991999199919992, 26=2.0, 59=0.4840188864009206, 512=0.8750575510257669, 664=1.0}	
Sheever Kreygasm i just fap	POSITIVE	NEUTRAL	{15=2.0, 16=1.0, 18=1.7317187233504074, 19=3.0, 20=0.6134344206825597, 23=2.0, 25=0.9612961296129614, 26=2.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 57=0.687379535055671, 91=0.7262984061573106, 664=1.0}	
sad tree	NEGATIVE	NEUTRAL	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 15=1.0, 17=1.0, 18=0.9862233641620408, 19=2.0, 20=0.8706844853293135, 21=0.11553887883272726, 23=1.0, 24=1.0, 25=0.7346734673467348, 26=2.0, 28=0.22642264226422643, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 52=1.0, 53=0.1, 54=1.0, 56=0.1, 363=0.6715367484903556, 500=0.740971251417355}	
Sheever is 187cm ... DansGame	NEGATIVE	NEUTRAL	{16=1.0, 18=0.5175041401431583, 19=1.0, 23=2.0, 25=0.962996299629963, 26=2.0, 45=1.0, 47=1.0, 49=0.0, 57=0.6410917592055967, 97=0.7674642377848452, 664=1.0}	
SLACKS PogChamp	POSITIVE	NEUTRAL	{16=1.0, 18=0.5144231033742855, 19=1.0, 23=1.0, 25=0.52995299529953, 26=1.0, 111=0.7101656140772074, 148=0.704034658651364, 664=1.0}	
invoker spells 4Head	POSITIVE	NEUTRAL	{23=1.0, 25=0.46264626462646263, 26=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 250=0.6039559637317944, 546=0.7970176873023581, 664=1.0}	
SoBayed SoBayed	POSITIVE	NEUTRAL	{43=2.0, 46=2.0, 47=2.0, 48=1.0, 252=1.0, 664=2.0}	
7ckinHot KappaPride	POSITIVE	NEGATIVE	{15=2.0, 18=1.324581721749369, 19=2.0, 20=0.7207535335640445, 23=2.0, 25=1.0544054405440544, 26=2.0, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7, 59=0.5806133500274197, 101=0.8141794260296296, 664=1.0}	
BULLDOG DansGame	NEGATIVE	NEUTRAL	{16=1.0, 18=0.47864456389575094, 19=1.0, 22=1.0, 25=0.5544554455445545, 26=1.0, 27=0.5544554455445545, 45=1.0, 47=1.0, 49=0.0, 97=1.0, 664=1.0}	
EleGiggle DA BLOCK PogChamp	POSITIVE	NEUTRAL	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 17=1.0, 18=0.44287152626858944, 19=1.0, 21=0.44287152626858944, 23=2.0, 25=0.9783978397839785, 26=2.0, 38=1.0, 40=1.0, 42=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3, 134=0.5865156353349145, 148=0.47277995356146496, 300=0.6576309945692196, 664=2.0}	
NotLikeThis WHY HE SOUNDS MORE WOMAN THAN SHEEVER NotLikeThis	NEGATIVE	NEUTRAL	{15=1.0, 16=3.0, 18=2.3452026606953247, 19=4.0, 20=0.8019333505724677, 22=1.0, 23=4.0, 24=1.0, 25=3.015601560156016, 26=6.0, 27=0.5837583758375838, 28=0.4013401340134014, 45=2.0, 47=2.0, 49=0.0, 57=0.2996673831123709, 98=0.954043740872809, 664=2.0}	
